Culture;ID;Annee;Entreprise;Description;Notes sur la localisation;Localisation;Coord.lat.long;Coord.Lati;Coord.Long;Culture.Hybride;Culture.Densite.Plan_plant.ha;Culture.Detail.Site;Culture.Periode.Enchantillonnage;Culture.Profondeur.Echantillonnage_cm;Culture.Travail.Sol;Culture.Precedent;Culture.Date.Plantation;Culture.Date.Recolte;ProprieteSol.pHeauCaCl2;ProprieteSol.pHtamponSMP7;ProprieteSol.C_%;ProprieteSol.CEC_meq.100g;ProprieteSol.Ntot.Nkjehdal_%;ProprieteSol.ExtractifN;ProprieteSol.NO3.printemps_mg.kg;ProprieteSol.NH4.printemps_mg.kg;ProprieteSol.NO3.rechaussement_mg.kg;ProprieteSol.NH4.rechaussement_mg.kg;ProprieteSol.MethodeDosage;ProprieteSol.Extractif;ProprieteSol.MIII.Ca_mg.kg;ProprieteSol.MIII.Mg_mg.kg;ProprieteSol.MIII.K_mg.kg;ProprieteSol.MIII.B_mg.kg;ProprieteSol.MIII.Cu_mg.kg;ProprieteSol.MIII.Zn_mg.kg;ProprieteSol.MIII.Fe_mg.kg;ProprieteSol.MIII.Mn_mg.kg;ProprieteSol.MIII.Al.AA_mg.kg;ProprieteSol.MIII.Al.SEP_mg.kg;ProprieteSol.MethodeDosageP;ProprieteSol.MIII.P.colorimetrie_mg.kg;ProprieteSol.MIII.P.SEP_mg.kg;ProprieteSol.MIII.P.AA_%;ProprieteSol.PsurAl.SEP;ProprieteSol.FragmentsInferieur2mm_%;ProprieteSol.Densite_g.cm3;ProprieteSol.ClasseTexturale;ProprieteSol.Argile_%;ProprieteSol.Sable_%;ProprieteSol.ClasseHydrologique;ProprieteSol.SerieSol;ProprieteSol.ProprietesPedologiques;Dose.FumierOuLisier;Dose.N.Source;Dose.N.Type;Dose.N.Quantite_kgN.ha;Dose.K.Source;Dose.K.Type;Dose.K.Quantite_kgK2O.ha;Dose.P.Source;Dose.P.Type;Dose.P.Quantite_kgP2o5.ha_temoin;Dose.P.Quantite_kgP2o5.ha_dose1;Dose.P.Quantite_kgP2o5.ha_dose2;Dose.P.Quantite_kgP2o5.ha_dose3;Dose.P.Quantite_kgP2o5.ha_dose4;Performance.P.Rendement_t.ha_temoin;Performance.P.Rendement_t.ha_dose1;Performance.P.Rendement_t.ha_dose2;Performance.P.Rendement_t.ha_dose3;Performance.P.Rendement_t.ha_dose4;Performance.P.DensiteGrain_g.L_temoin;Performance.P.DensiteGrain_g.L_dose1;Performance.P.DensiteGrain_g.L_dose2;Performance.P.DensiteGrain_g.L_dose3;Performance.P.DensiteGrain_g.L_dose4;Performance.P.HumiditeGrain_%_temoin;Performance.P.HumiditeGrain_%_dose1;Performance.P.HumiditeGrain_%_dose2;Performance.P.HumiditeGrain_%_dose3;Performance.P.HumiditeGrain_%_dose4;Performance.P.HauteurPlant_cm_temoin;Performance.P.HauteurPlant_cm_dose1;Performance.P.HauteurPlant_cm_dose2;Performance.P.HauteurPlant_cm_dose3;Performance.P.biomasse_g.plant_temoin;Performance.P.biomasse_g.plant_dose1;Performance.P.biomasse_g.plant_dose2;Performance.P.biomasse_g.plant_dose3
Maïs grain;1;1994;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;Coaticook;Coaticook;"45 08' 00""N - 71 48' 00""O";45 08 00;71 48 00;Pioneer 3979;;;Printemps;20;Conventionnel;;;;6;;2;;;;35.4;;;;SEP;Mehlich-3;815;85.7;58.5;;13;17;;147;416;;Mehlich-3;51.3;;12.3;13.8;;;Loam sableux;;;3;Milby;;Aucun;NA;En bande;200;;En bande;90;;;0;25;50;75;;5.1;5.5;4.9;5.6;;;;;;;;;;;;;;;;;;;
Maïs grain;2;1994;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;Compton;Compton;"45 14' 00""N - 71 49' 00""O";45 14 00;71 49 00;Pioneer 3979;;;Printemps;20;Conventionnel;;;;7;;3;;;;31;;;;SEP;Mehlich-3;2277.2;148.2;62.5;;12;6;;114;931;;Mehlich-3;62.1;;6.7;7.5;;;Loam argileux;;;1;Coaticook;;Aucun;NA;En bande;200;;En bande;90;;;0;25;50;75;;5.1;4.5;4.5;4.1;;;;;;;;;;;;;;;;;;;
Maïs grain;3;1994;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;Saint-Polycarpe;Saint-Polycarpe;"45 18' 00""N - 74 18' 00""O";45 18 00;74 18 00;Pioneer 3921;;;Printemps;20;Conventionnel;;;;7;;4;;;;30.9;;;;SEP;Mehlich-3;2988.8;491.9;119.2;;3;3;;39;1024;;Mehlich-3;54;;5.3;5.9;;;Loam argileux;;;1;Sainte-Rosalie;;Aucun;NA;En bande;200;;En bande;90;;;0;25;50;75;;7.5;7.6;7.1;7.3;;;;;;;;;;;;;;;;;;;
Maïs grain;4;1995;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;Sainte-Madeleine;Sainte-Madeleine;"45 36' 00""N - 73 06' 00""O";45 36 00;73 06 00;Pioneer 3921;;;Printemps;20;Conventionnel;;;;7;;2;;;;17.7;;;;SEP;Mehlich-3;1791.9;559.4;216.5;;2;2;;37;972;;Mehlich-3;27.7;;2.8;3.2;;;Loam argileux;;;1;Saint-Hyacinthe;;Aucun;NA;En bande;200;;En bande;120;;;0;25;50;75;;6.88;7.1;7.16;7.11;;730;730;730;730;;23;22;22;22;;;;;;;;;
Maïs grain;5;1995;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;L'Assomption;L'Assomption;45 50' 00''N - 73 24' 00''O;45 50 00;73 24 00;Pioneer 3921;;;Printemps;20;Conventionnel;;;;6;;4;;;;35.4;;;;SEP;Mehlich-3;2286.2;306.3;119.6;;4;3;;18;1209;;Mehlich-3;40.2;;3.3;3.7;;;Loam argileux;;;1;Sainte-Rosalie;;Aucun;NA;En bande;200;;En bande;120;;;0;25;50;75;;6.77;5.88;7.12;6.24;;720;710;730;720;;17;17;17;18;;;;;;;;;
Maïs grain;6;1995;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;Lennoxville;Lennoxville;"45 22' 00""N - 71 51' 43""O";45 22 00;71 51 43;Pioneer 3979;;;Printemps;20;Conventionnel;;;;7;;5;;;;17.7;;;;SEP;Mehlich-3;1758.5;54.5;290.6;;8;6;;24;1617;;Mehlich-3;124.1;;7.7;8.6;;;Loam sableux;;;3;Danby;;Aucun;NA;En bande;200;;En bande;120;;;0;25;50;75;;5.55;5.72;6.25;5.81;;700;700;700;710;;22;21;21;21;;;;;;;;;
Maïs grain;7;1995;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;Saint-Hyacinthe;Saint-Hyacinthe;"45 37' 00""N - 72 57' 00""O";45 37 00;72 57 00;Pioneer 3921;;;Printemps;20;Conventionnel;;;;7;;2;;;;44.3;;;;SEP;Mehlich-3;1913.8;194.5;196.4;;2;3;;19;761;;Mehlich-3;158;;20.8;23.3;;;Loam sableux;;;3;Contour;;Aucun;NA;En bande;200;;En bande;120;;;0;25;50;75;;8.63;9.14;9.01;9.11;;770;770;770;770;;15;15;15;15;;;;;;;;;
Maïs grain;8;1995;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;L'Assomption;L'Assomption;45 50' 00''N - 73 24' 00''O;45 50 00;73 24 00;Pioneer 3921;;;Printemps;20;Conventionnel;;;;6;;2;;;;26.6;;;;SEP;Mehlich-3;881.7;58.5;85.7;;3;7;;49;1284;;Mehlich-3;227.7;;17.7;19.9;;;Loam sableux;;;3;Saint-Damase;;Aucun;NA;En bande;200;;En bande;120;;;0;25;50;75;;6.05;6.71;7.19;7.22;;740;740;750;750;;22;22;21;21;;;;;;;;;
Maïs grain;9;1996;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;L'Assomption;L'Assomption;45 50' 00''N - 73 24' 00''O;45 50 00;73 24 00;Pioneer 3921;;;Printemps;20;Conventionnel;;;;6;;5;;;;30.9;;;;SEP;Mehlich-3;2625.4;295.1;114.3;;5;3;;12;1143;;Mehlich-3;44.6;;3.9;4.4;;;Loam argileux;;;1;Sainte-Rosalie;;Aucun;NA;En bande;200;;En bande;120;;;0;25;50;75;;7.25;7.46;7.51;7.49;;650;670;660;670;;27;24;25;24;;;;;;;;;
Maïs grain;10;1996;Ag. Can-MAPAQ-Ulaval-McGill;Plan vert Can.: p 13-62260811-081 - 1997;Acadie;L'Acadie;"45 18' 57""N - 73 20' 44""O";45 18 57;73 20 44;Pioneer 3921;;;Printemps;20;Conventionnel;;;;6;;4;;;;22.1;;;;SEP;Mehlich-3;1730.4;150;163.8;;2;2;;29;1233;;Mehlich-3;61.2;;5;5.6;;;Loam argileux;;;1;;;Aucun;NA;En bande;200;;En bande;120;;;0;25;50;75;;5.62;7.17;7.01;7.28;;640;680;680;690;;28;24;24;23;;;;;;;;;
