ID;ProprieteSol.SerieSol;SerieSol;cansis;m.3a;m.3b;m.3c
1;Milby;Milby;MBY;0,36345951;0,383998718;0,252541771
2;Coaticook;Coaticook;CCO;0,917265949;0,014592169;0,068141883
3;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
4;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
5;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
6;Danby;Danby;DBY;0,011580453;0,968242501;0,020177046
7;Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
8;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
9;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
10;;;;;;
11;Lennoxville;Lennoxville;LXV;;;
12;Danby;Danby;DBY;0,011580453;0,968242501;0,020177046
13;Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
14;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
15;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
16;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
17;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
18;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
19;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
20;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
21;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
22;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
23;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
24;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
25;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
26;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
27;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
28;Saint-Benoit;Saint-Benoit;SNB;0,20955933;0,498927083;0,291513588
29;Saint-Benoit;Saint-Benoit;SNB;0,20955933;0,498927083;0,291513588
30;Saint-Benoit;Saint-Benoit;SNB;0,20955933;0,498927083;0,291513588
31;Saint-Benoit;Saint-Benoit;SNB;0,20955933;0,498927083;0,291513588
32;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
33;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
34;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
35;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
36;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
37;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
38;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
39;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
40;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
41;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
42;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
43;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
44;Saint-Benoit;Saint-Benoit;SNB;0,20955933;0,498927083;0,291513588
45;Saint-Benoit;Saint-Benoit;SNB;0,20955933;0,498927083;0,291513588
46;Saint-Benoit;Saint-Benoit;SNB;0,20955933;0,498927083;0,291513588
